|    CIFKEY      |                                                                 ADDRESS_LINE_ORIGIN                                                                   |                                          ADDRESS_LINE_EN                                            |                                DEPARTMENT                                  |                              SUB DEPARTMENT                                |                                STREET NAME                                 |   BUILDING NUMBER    |             BUILDING NAME               |                                   FLOOR                                    |      POST BOX        |                                   ROOM                                     |      POST CODE       |               TOWN NAME                 |           TOWN LOCATION NAME            |             DISTRICT NAME               |          COUNTRY SUB DIVISION           |COUNTRY |                               ADDRESS LINE                                 |               OTHER                |             ERROR_MESSAGE               |                                        ADDRESS_LINE_REBUILD                                         |
|1344            |浙江省杭州市西湖區文三路150號E座6樓602室, 杭州 310013, 中國                                                                                            |6th Floor, Room 602, Tower E, 150 Wensan Road, Xihu District, Hangzhou City, Zhejiang Province 31001 |                                                                            |                                                                            |WENSAN ROAD                                                                 |150                   |TOWER E                                  |6TH FLOOR                                                                   |                      |ROOM 602                                                                    |310013                |                                         |HANGZHOU CITY                            |XIHU DISTRICT                            |ZHEJIANG PROVINCE                        |CN      |                                                                            |                                    |                                         |ROOM 602, 6TH FLOOR, TOWER E, 150, WENSAN ROAD, XIHU DISTRICT, HANGZHOU CITY, ZHEJIANG PROVINCE, 310 |
|3577            |四川省成都市武侯區科華北路50號F座9樓901室, 成都 610041, 中國                                                                                           |9th Floor, Room 901, Tower F, 50 Kehua North Road, Wuhou District, Chengdu City, Sichuan Province 61 |                                                                            |                                                                            |KEHUA NORTH ROAD                                                            |50                    |TOWER F                                  |9TH FLOOR                                                                   |                      |ROOM 901                                                                    |610041                |                                         |CHENGDU CITY                             |WUHOU DISTRICT                           |SICHUAN PROVINCE                         |CN      |                                                                            |                                    |                                         |ROOM 901, 9TH FLOOR, TOWER F, 50, KEHUA NORTH ROAD, WUHOU DISTRICT, CHENGDU CITY, SICHUAN PROVINCE,  |
|6524            |湖北省武漢市洪山區魯磨路88號G座11樓1105室, 武漢 430074, 中國                                                                                           |11th Floor, Room 1105, Tower G, 88 Lumo Road, Hongshan District, Wuhan City, Hubei Province 430074,  |                                                                            |                                                                            |LUMO ROAD                                                                   |88                    |TOWER G                                  |11TH FLOOR                                                                  |                      |ROOM 1105                                                                   |430074                |                                         |WUHAN CITY                               |HONGSHAN DISTRICT                        |HUBEI PROVINCE                           |CN      |                                                                            |                                    |                                         |ROOM 1105, 11TH FLOOR, TOWER G, 88, LUMO ROAD, HONGSHAN DISTRICT, WUHAN CITY, HUBEI PROVINCE, 430074 |
|1719            |湖南省長沙市雨花區曙光路20號H座7樓702室, 長沙 410013, 中國                                                                                             |7th Floor, Room 702, Tower H, 20 Shuguang Road, Yuhua District, Changsha City, Hunan Province 410013 |                                                                            |                                                                            |SHUGUANG ROAD                                                               |20                    |TOWER H                                  |7TH FLOOR                                                                   |                      |ROOM 702                                                                    |410013                |                                         |CHANGSHA CITY                            |YUHUA DISTRICT                           |HUNAN PROVINCE                           |CN      |                                                                            |                                    |                                         |ROOM 702, 7TH FLOOR, TOWER H, 20, SHUGUANG ROAD, YUHUA DISTRICT, CHANGSHA CITY, HUNAN PROVINCE, 4100 |
|1383            |福建省廈門市思明區湖濱東路30號I座4樓402室, 廈門 361001, 中國                                                                                           |4th Floor, Room 402, Tower I, 30 Hubin East Road, Siming District, Xiamen City, Fujian Province 3610 |                                                                            |                                                                            |HUBIN EAST ROAD                                                             |30                    |TOWER I                                  |4TH FLOOR                                                                   |                      |ROOM 402                                                                    |361001                |                                         |XIAMEN CITY                              |SIMING DISTRICT                          |FUJIAN PROVINCE                          |CN      |                                                                            |                                    |                                         |ROOM 402, 4TH FLOOR, TOWER I, 30, HUBIN EAST ROAD, SIMING DISTRICT, XIAMEN CITY, FUJIAN PROVINCE, 36 |
|1870            |遼寧省大連市沙河口區中山路100號J座10樓1001室, 大連 116001, 中國                                                                                        |10th Floor, Room 1001, Tower J, 100 Zhongshan Road, Shahekou District, Dalian City, Liaoning Provinc |                                                                            |                                                                            |ZHONGSHAN ROAD                                                              |100                   |TOWER J                                  |10TH FLOOR                                                                  |                      |ROOM 1001                                                                   |116001                |                                         |DALIAN CITY                              |SHAHEKOU DISTRICT                        |LIAONING PROVINCE                        |CN      |                                                                            |                                    |                                         |ROOM 1001, 10TH FLOOR, TOWER J, 100, ZHONGSHAN ROAD, SHAHEKOU DISTRICT, DALIAN CITY, LIAONING PROVIN |
|1530046035      |美國紐約州紐約市第五大道350號                                                                                                                          |350 Fifth Avenue, New York, NY 10118, USA                                                            |                                                                            |                                                                            |FIFTH AVENUE                                                                |350                   |                                         |                                                                            |                      |                                                                            |10118                 |                                         |NEW YORK                                 |                                         |NY                                       |US      |                                                                            |                                    |                                         |350, FIFTH AVENUE, NEW YORK, NY, 10118, US                                                           |
|858269184       |美國加利福尼亞州庫比蒂諾市無限環路1號                                                                                                                  |1 Infinite Loop Road, Cupertino, CA 95014, USA                                                       |                                                                            |                                                                            |INFINITE LOOP ROAD                                                          |1                     |                                         |                                                                            |                      |                                                                            |95014                 |                                         |CUPERTINO                                |                                         |CA                                       |US      |                                                                            |                                    |                                         |1, INFINITE LOOP ROAD, CUPERTINO, CA, 95014, US                                                      |
|6669475541      |美國西維吉尼亞州查爾斯頓市楓樹大道742號                                                                                                                |742 Maple Avenue, Charleston, West Virginia 25302, USA                                               |                                                                            |                                                                            |MAPLE AVENUE                                                                |742                   |                                         |                                                                            |                      |                                                                            |25302                 |                                         |CHARLESTON                               |                                         |WV                                       |US      |                                                                            |                                    |                                         |742, MAPLE AVENUE, CHARLESTON, WV, 25302, US                                                         |
|7214            |東京都豊島?東池袋1-50-35 池袋P'PARCO B1F                                                                                                               |B1F, Ikebukuro P'PARCO, 1-50-35 Higashi-Ikebukuro, Toshima-ku, Tokyo, Japan                          |                                                                            |                                                                            |HIGASHI-IKEBUKURO                                                           |1-50-35               |IKEBUKURO P'PARCO                        |B1F                                                                         |                      |                                                                            |                      |                                         |TOKYO                                    |TOSHIMA-KU                               |                                         |JP      |                                                                            |                                    |PLEASE ENTER POSTAL CODE.                |B1F, IKEBUKURO P'PARCO, 1-50-35, HIGASHI-IKEBUKURO, TOSHIMA-KU, TOKYO, JP                            |
|7059            |22 第二批測試資料 22                                                                                                                                   |1-1 Chiyoda, Chiyoda-ku, Tokyo 100-0001, Japan                                                       |                                                                            |                                                                            |CHIYODA                                                                     |1-1                   |                                         |                                                                            |                      |                                                                            |100-0001              |                                         |TOKYO                                    |CHIYODA-KU                               |                                         |JP      |                                                                            |                                    |                                         |1-1, CHIYODA, CHIYODA-KU, TOKYO, 100-0001, JP                                                        |
|1249            |22 第二批測試資料 22                                                                                                                                   |5-2 Odori Nishi 10-chome, Chuo-ku, Sapporo, Hokkaido 060-0042, Japan                                 |                                                                            |                                                                            |10-CHOME, ODORI NISHI                                                       |5-2                   |                                         |                                                                            |                      |                                                                            |060-0042              |                                         |SAPPORO                                  |CHUO-KU                                  |HOKKAIDO                                 |JP      |                                                                            |                                    |                                         |5-2, 10-CHOME, ODORI NISHI, CHUO-KU, SAPPORO, HOKKAIDO, 060-0042, JP                                 |
|8706            |22 第二批測試資料 22                                                                                                                                   |3-4-15 Umeda, Kita-ku, Osaka, Osaka 530-0001, Japan                                                  |                                                                            |                                                                            |UMEDA                                                                       |3-4-15                |                                         |                                                                            |                      |                                                                            |530-0001              |                                         |OSAKA                                    |KITA-KU                                  |OSAKA                                    |JP      |                                                                            |                                    |                                         |3-4-15, UMEDA, KITA-KU, OSAKA, OSAKA, 530-0001, JP                                                   |
|7081            |22 第二批測試資料 22                                                                                                                                   |2-12-8 Sakae, Naka-ku, Nagoya, Aichi 460-0008, Japan                                                 |                                                                            |                                                                            |SAKAE                                                                       |2-12-8                |                                         |                                                                            |                      |                                                                            |460-0008              |                                         |NAGOYA                                   |NAKA-KU                                  |AICHI                                    |JP      |                                                                            |                                    |                                         |2-12-8, SAKAE, NAKA-KU, NAGOYA, AICHI, 460-0008, JP                                                  |
|7181            |22 第二批測試資料 22                                                                                                                                   |1-6-3 Tenjin, Chuo-ku, Fukuoka, Fukuoka 810-0001, Japan                                              |                                                                            |                                                                            |TENJIN                                                                      |1-6-3                 |                                         |                                                                            |                      |                                                                            |810-0001              |                                         |FUKUOKA                                  |CHUO-KU                                  |FUKUOKA                                  |JP      |                                                                            |                                    |                                         |1-6-3, TENJIN, CHUO-KU, FUKUOKA, FUKUOKA, 810-0001, JP                                               |
|5602            |22 第二批測試資料 22                                                                                                                                   |4-7-12 Ichibancho, Aoba-ku, Sendai, Miyagi 980-0811, Japan                                           |                                                                            |                                                                            |ICHIBANCHO                                                                  |4-7-12                |                                         |                                                                            |                      |                                                                            |980-0811              |                                         |SENDAI                                   |AOBA-KU                                  |MIYAGI                                   |JP      |                                                                            |                                    |                                         |4-7-12, ICHIBANCHO, AOBA-KU, SENDAI, MIYAGI, 980-0811, JP                                            |
|2398            |22 第二批測試資料 22                                                                                                                                   |7-10 Kyomachi, Chuo-ku, Kobe, Hyogo 650-0034, Japan                                                  |                                                                            |                                                                            |KYOMACHI                                                                    |7-10                  |                                         |                                                                            |                      |                                                                            |650-0034              |                                         |KOBE                                     |CHUO-KU                                  |HYOGO                                    |JP      |                                                                            |                                    |                                         |7-10, KYOMACHI, CHUO-KU, KOBE, HYOGO, 650-0034, JP                                                   |
|951             |22 第二批測試資料 22                                                                                                                                   |2-5-9 Kamiyacho, Naka-ku, Hiroshima, Hiroshima 730-0031, Japan                                       |                                                                            |                                                                            |KAMIYACHO                                                                   |2-5-9                 |                                         |                                                                            |                      |                                                                            |730-0031              |                                         |HIROSHIMA                                |NAKA-KU                                  |HIROSHIMA                                |JP      |                                                                            |                                    |                                         |2-5-9, KAMIYACHO, NAKA-KU, HIROSHIMA, HIROSHIMA, 730-0031, JP                                        |
|9279            |22 第二批測試資料 22                                                                                                                                   |1-4-22 Honmachi, Kanazawa, Ishikawa 920-0853, Japan                                                  |                                                                            |                                                                            |HONMACHI                                                                    |1-4-22                |                                         |                                                                            |                      |                                                                            |920-0853              |                                         |KANAZAWA                                 |                                         |ISHIKAWA                                 |JP      |                                                                            |                                    |                                         |1-4-22, HONMACHI, KANAZAWA, ISHIKAWA, 920-0853, JP                                                   |
|7774            |22 第二批測試資料 22                                                                                                                                   |3-2-18 Kumoji, Naha, Okinawa 900-0015, Japan                                                         |                                                                            |                                                                            |KUMOJI                                                                      |3-2-18                |                                         |                                                                            |                      |                                                                            |900-0015              |                                         |NAHA                                     |                                         |OKINAWA                                  |JP      |                                                                            |                                    |                                         |3-2-18, KUMOJI, NAHA, OKINAWA, 900-0015, JP                                                          |
|1640            |1 第一批測試資料 1                                                                                                                                     |Rm. 9, 5 F.-1, No. 656-88, Aly. 321, Ln. 123, Sec. 4, Bade Rd., Songshan Dist., Taipei City 105034,  |                                                                            |                                                                            |ALY. 321, LN. 123, SEC. 4, BADE RD.                                         |NO. 656-88            |                                         |5F.-1                                                                       |                      |RM. 9                                                                       |105034                |                                         |TAIPEI CITY                              |SONGSHAN DIST.                           |                                         |TW      |                                                                            |                                    |                                         |RM. 9, 5F.-1, NO. 656-88, ALY. 321, LN. 123, SEC. 4, BADE RD., SONGSHAN DIST., TAIPEI CITY, 105034,  |
|4455            |1 第一批測試資料 1                                                                                                                                     |2911 Chino Ave., Unit F2, Chino Hills, CA 91709, USA                                                 |                                                                            |                                                                            |CHINO AVE.                                                                  |2911                  |                                         |                                                                            |                      |UNIT F2                                                                     |91709                 |                                         |CHINO HILLS                              |                                         |CA                                       |US      |                                                                            |                                    |                                         |UNIT F2, 2911, CHINO AVE., CHINO HILLS, CA, 91709, US                                                |
|5279            |1 第一批測試資料 1                                                                                                                                     |1600 Amphitheatre Parkway, Mountain View, CA 94043, USA                                              |                                                                            |                                                                            |AMPHITHEATRE PARKWAY                                                        |1600                  |                                         |                                                                            |                      |                                                                            |94043                 |                                         |MOUNTAIN VIEW                            |                                         |CA                                       |US      |                                                                            |                                    |                                         |1600, AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, 94043, US                                             |
|6778            |1 第一批測試資料 1                                                                                                                                     |Potsdamer Platz 1, 10785 Berlin, Germany                                                             |                                                                            |                                                                            |POTSDAMER PLATZ                                                             |1                     |                                         |                                                                            |                      |                                                                            |10785                 |                                         |BERLIN                                   |                                         |                                         |DE      |                                                                            |                                    |                                         |1, POTSDAMER PLATZ, BERLIN, 10785, DE                                                                |
|8181            |1 第一批測試資料 1                                                                                                                                     |Piazza del Colosseo, 1, 00184 Roma RM, Italy                                                         |                                                                            |                                                                            |PIAZZA DEL COLOSSEO                                                         |1                     |                                         |                                                                            |                      |                                                                            |00184                 |                                         |ROMA                                     |                                         |RM                                       |IT      |                                                                            |                                    |                                         |1, PIAZZA DEL COLOSSEO, ROMA, RM, 00184, IT                                                          |
|3452            |1 第一批測試資料 1                                                                                                                                     |175 Queen Street, Auckland 1010, New Zealand                                                         |                                                                            |                                                                            |QUEEN STREET                                                                |175                   |                                         |                                                                            |                      |                                                                            |1010                  |                                         |AUCKLAND                                 |                                         |                                         |NZ      |                                                                            |                                    |                                         |175, QUEEN STREET, AUCKLAND, 1010, NZ                                                                |
|5558            |1 第一批測試資料 1                                                                                                                                     |200 Bourke Street, Melbourne VIC 3000, Australia                                                     |                                                                            |                                                                            |BOURKE STREET                                                               |200                   |                                         |                                                                            |                      |                                                                            |3000                  |                                         |MELBOURNE                                |                                         |VIC                                      |AU      |                                                                            |                                    |                                         |200, BOURKE STREET, MELBOURNE, VIC, 3000, AU                                                         |
|4900            |1 第一批測試資料 1                                                                                                                                     |221B Baker Street, London NW1 6XE, UK                                                                |                                                                            |                                                                            |BAKER STREET                                                                |221B                  |                                         |                                                                            |                      |                                                                            |NW1 6XE               |                                         |LONDON                                   |                                         |                                         |GB      |                                                                            |                                    |                                         |221B, BAKER STREET, LONDON, NW1 6XE, GB                                                              |
|3807            |1 第一批測試資料 1                                                                                                                                     |10 Downing Street, Westminster, London SW1A 2AA, UK                                                  |                                                                            |                                                                            |DOWNING STREET                                                              |10                    |                                         |                                                                            |                      |                                                                            |SW1A 2AA              |                                         |WESTMINSTER                              |                                         |LONDON                                   |GB      |                                                                            |                                    |                                         |10, DOWNING STREET, WESTMINSTER, LONDON, SW1A 2AA, GB                                                |
|8182            |1 第一批測試資料 1                                                                                                                                     |1-2, 1-Chome Oshiage, Sumida City, Tokyo 131-8634, Japan                                             |                                                                            |                                                                            |1-CHOME, OSHIAGE                                                            |1-2                   |                                         |                                                                            |                      |                                                                            |131-8634              |                                         |SUMIDA CITY                              |                                         |TOKYO                                    |JP      |                                                                            |                                    |                                         |1-2, 1-CHOME, OSHIAGE, SUMIDA CITY, TOKYO, 131-8634, JP                                              |
|4430            |1 第一批測試資料 1                                                                                                                                     |3759 Elm St, Rivertown, MI 91179                                                                     |                                                                            |                                                                            |ELM ST.                                                                     |3759                  |                                         |                                                                            |                      |                                                                            |91179                 |                                         |RIVERTOWN                                |                                         |MI                                       |        |                                                                            |                                    |PLEASE ENTER COUNTRY.                    |3759, ELM ST., RIVERTOWN, MI, 91179                                                                  |
|3775            |1 第一批測試資料 1                                                                                                                                     |3861 Elm St, Rivertown, CA 72976                                                                     |                                                                            |                                                                            |ELM ST.                                                                     |3861                  |                                         |                                                                            |                      |                                                                            |72976                 |                                         |RIVERTOWN                                |                                         |                                         |CA      |                                                                            |                                    |                                         |3861, ELM ST., RIVERTOWN, 72976, CA                                                                  |
|2316            |1 第一批測試資料 1                                                                                                                                     |5341 Elm St, Clinton, NC 68405                                                                       |                                                                            |                                                                            |ELM ST.                                                                     |5341                  |                                         |                                                                            |                      |                                                                            |68405                 |                                         |CLINTON                                  |                                         |                                         |NC      |                                                                            |                                    |                                         |5341, ELM ST., CLINTON, 68405, NC                                                                    |
|3744            |1 第一批測試資料 1                                                                                                                                     |1740 Highland Ave, Lakeside, NC 95349                                                                |                                                                            |                                                                            |HIGHLAND AVE.                                                               |1740                  |                                         |                                                                            |                      |                                                                            |95349                 |                                         |LAKESIDE                                 |                                         |                                         |NC      |                                                                            |                                    |                                         |1740, HIGHLAND AVE., LAKESIDE, 95349, NC                                                             |
|1057            |1 第一批測試資料 1                                                                                                                                     |6806 Oak St, Hillcrest, OH 30159                                                                     |                                                                            |                                                                            |OAK ST.                                                                     |6806                  |                                         |                                                                            |                      |                                                                            |30159                 |                                         |HILLCREST                                |                                         |OH                                       |        |                                                                            |                                    |PLEASE ENTER COUNTRY.                    |6806, OAK ST., HILLCREST, OH, 30159                                                                  |
|5808            |1 第一批測試資料 1                                                                                                                                     |6769 Highland Ave, Springfield, GA 92721                                                             |                                                                            |                                                                            |HIGHLAND AVE.                                                               |6769                  |                                         |                                                                            |                      |                                                                            |92721                 |                                         |SPRINGFIELD                              |                                         |                                         |GA      |                                                                            |                                    |                                         |6769, HIGHLAND AVE., SPRINGFIELD, 92721, GA                                                          |
|5215            |***** For 'FLOOR' test data! *****                                                                                                                     |5th Floor, 4678 Broadway, Austin, WA 83821, UK                                                       |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |5TH FLOOR                                                                   |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |5TH FLOOR, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                     |
|1420            |***** For 'FLOOR' test data! *****                                                                                                                     |Fl. 5, 4678 Broadway, Austin, WA 83821, UK                                                           |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |FL. 5                                                                       |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |FL. 5, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                         |
|7223            |***** For 'FLOOR' test data! *****                                                                                                                     |Level 5, 4678 Broadway, Austin, WA 83821, UK                                                         |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |LEVEL 5                                                                     |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |LEVEL 5, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                       |
|2683            |***** For 'FLOOR' test data! *****                                                                                                                     |Unit 501, 5th Floor, 4678 Broadway, Austin, WA 83821, UK                                             |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |5TH FLOOR                                                                   |                      |UNIT 501                                                                    |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |UNIT 501, 5TH FLOOR, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                           |
|2094            |***** For 'FLOOR' test data! *****                                                                                                                     |Suite 501, Fl. 5, 4678 Broadway, Austin, WA 83821, UK                                                |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |FL. 5                                                                       |                      |SUITE 501                                                                   |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |SUITE 501, FL. 5, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                              |
|145             |***** For 'FLOOR' test data! *****                                                                                                                     |B1F, 4678 Broadway, Austin, WA 83821, UK                                                             |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |B1F                                                                         |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |B1F, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                           |
|6175            |***** For 'FLOOR' test data! *****                                                                                                                     |Basement 1, 4678 Broadway, Austin, WA 83821, UK                                                      |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |B1F                                                                         |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |B1F, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                           |
|3027            |***** For 'FLOOR' test data! *****                                                                                                                     |Lower Ground Floor, 4678 Broadway, Austin, WA 83821, UK                                              |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |LOWER GROUND FLOOR                                                          |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |LOWER GROUND FLOOR, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                            |
|8428            |***** For 'FLOOR' test data! *****                                                                                                                     |Unit B101, B1F, 4678 Broadway, Austin, WA 83821, UK                                                  |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |B1F                                                                         |                      |UNIT B101                                                                   |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |UNIT B101, B1F, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                |
|963             |***** For 'FLOOR' test data! *****                                                                                                                     |M/F, 4678 Broadway, Austin, WA 83821, UK                                                             |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |M/F                                                                         |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |M/F, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                           |
|3555            |***** For 'FLOOR' test data! *****                                                                                                                     |Mezzanine Floor, 4678 Broadway, Austin, WA 83821, UK                                                 |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |MEZZANINE FLOOR                                                             |                      |                                                                            |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |MEZZANINE FLOOR, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                               |
