CUSTOMER_ID;中文地址;英文地址
7181;22 第二批測試資料 22;1-6-3 Tenjin, Chuo-ku, Fukuoka, Fukuoka 810-0001, JP
5602;22 第二批測試資料 22;4-7-12 Ichibancho, Aoba-ku, Sendai, Miyagi 980-0811, JP
2398;22 第二批測試資料 22;7-10 Kyomachi, Chuo-ku, Kobe, Hyogo 650-0034, JP
951;22 第二批測試資料 22;2-5-9 Kamiyacho, Naka-ku, Hiroshima, Hiroshima 730-0031, JP
9279;22 第二批測試資料 22;1-4-22 Honmachi, Kanazawa, Ishikawa 920-0853, JP
7774;22 第二批測試資料 22;3-2-18 Kumoji, Naha, Okinawa 900-0015, JP
1640;1 第一批測試資料 1;Rm. 9, 5 F.-1, No. 656-88, Aly. 321, Ln. 123, Sec. 4, Bade Rd., Songshan Dist., Taipei City 105034, TW
4455;1 第一批測試資料 1;2911 Chino Ave., Unit F2, Chino Hills, CA 91709, US
5279;1 第一批測試資料 1;1600 Amphitheatre Parkway, Mountain View, CA 94043, US
6778;1 第一批測試資料 1;Potsdamer Platz 1, 10785 Berlin, DE
8181;1 第一批測試資料 1;Piazza del Colosseo, 1, 00184 Roma RM, IT
3452;1 第一批測試資料 1;175 Queen Street, Auckland 1010, NZ
5558;1 第一批測試資料 1;200 Bourke Street, Melbourne VIC 3000, AU
4900;1 第一批測試資料 1;221B Baker Street, London NW1 6XE, UK
3807;1 第一批測試資料 1;10 Downing Street, Westminster, London SW1A 2AA, UK
8182;1 第一批測試資料 1;1-2, 1-Chome Oshiage, Sumida City, Tokyo 131-8634, JP
4430;1 第一批測試資料 1;3759 Elm St, Rivertown, MI 91179
3775;1 第一批測試資料 1;3861 Elm St, Rivertown, CA 72976
2316;1 第一批測試資料 1;5341 Elm St, Clinton, NC 68405
3744;1 第一批測試資料 1;1740 Highland Ave, Lakeside, NC 95349
1057;1 第一批測試資料 1;6806 Oak St, Hillcrest, OH 30159
5808;1 第一批測試資料 1;6769 Highland Ave, Springfield, GA 92721
5215;***** For 'FLOOR' test data! *****;5th Floor, 4678 Broadway, Austin, WA 83821, UK
1420;***** For 'FLOOR' test data! *****;Fl. 5, 4678 Broadway, Austin, WA 83821, UK
7223;***** For 'FLOOR' test data! *****;Level 5, 4678 Broadway, Austin, WA 83821, UK
2683;***** For 'FLOOR' test data! *****;Unit 501, 5th Floor, 4678 Broadway, Austin, WA 83821, UK
2094;***** For 'FLOOR' test data! *****;Suite 501, Fl. 5, 4678 Broadway, Austin, WA 83821, UK
145;***** For 'FLOOR' test data! *****;B1F, 4678 Broadway, Austin, WA 83821, UK
6175;***** For 'FLOOR' test data! *****;Basement 1, 4678 Broadway, Austin, WA 83821, UK
3027;***** For 'FLOOR' test data! *****;Lower Ground Floor, 4678 Broadway, Austin, WA 83821, UK
8428;***** For 'FLOOR' test data! *****;Unit B101, B1F, 4678 Broadway, Austin, WA 83821, UK
963;***** For 'FLOOR' test data! *****;M/F, 4678 Broadway, Austin, WA 83821, UK
3555;***** For 'FLOOR' test data! *****;Mezzanine Floor, 4678 Broadway, Austin, WA 83821, UK
5326;***** For 'FLOOR' test data! *****;Unit F1, M/F, 4678 Broadway, Austin, WA 83821, UK
23;333 第三批測試資料 333;Suite 501, 5th Floor, Sunshine Tower, 3-1-1 Higashiikebukuro, Toshima-ku, Tokyo 170-6059, JP
1515955763;333 第三批測試資料 333;123 Main St, Los Angeles, CA 90001, US
7934382346;333 第三批測試資料 333;456 Queen St, Auckland, Auckland Region 1010, NZ
5947055322;333 第三批測試資料 333;789 Oxford St, London, Greater London W1D 2ES, GB
8544670737;333 第三批測試資料 333;56 Via Roma, Rome, Lazio 00100, IT
1945600316;333 第三批測試資料 333;90 King St, Toronto, ON M5H 1A1, CA
4008883878;333 第三批測試資料 333;11 Orchard Rd, Singapore 238826, SG
2384209765;333 第三批測試資料 333;22 Nathan Rd, Kowloon, Hong Kong 999077, CN
5766857871;333 第三批測試資料 333;33 Xinyi Rd, Taipei City, Taipei 110, TW
4469447339;333 第三批測試資料 333;44 Nanjing Rd, Shanghai, Shanghai Municipality 200001, CN
7473909536;333 第三批測試資料 333;55 Shijo-dori, Kyoto, Kyoto 600-8001, JP
6767751544;333 第三批測試資料 333;77 Jalan Bukit Bintang, Kuala Lumpur, Federal Territory of Kuala Lumpur 55100, MY
3106477369;333 第三批測試資料 333;88 Sukhumvit Rd, Bangkok, Bangkok 10110, TH
857051200;***** For 'STATE' test data! *****;123 George Street, Sydney, New South Wales 2000, AU
857051200;***** For 'STATE' test data! *****;123 George Street, Sydney, NSW 2000, AU
9824927098;***** For 'STATE' test data! *****;456 Collins Street, Melbourne, Victoria 3000, AU
9824927098;***** For 'STATE' test data! *****;456 Collins Street, Melbourne, VIC 3000, AU
9073010488;***** For 'STATE' test data! *****;789 Queen Street, Brisbane, Queensland 4000, AU
9073010488;***** For 'STATE' test data! *****;789 Queen Street, Brisbane, QLD 4000, AU
3396736021;***** For 'STATE' test data! *****;12 King William Street, Adelaide, South Australia 5000, AU
3396736021;***** For 'STATE' test data! *****;12 King William Street, Adelaide, SA 5000, AU
4114030485;***** For 'STATE' test data! *****;34 Hay Street, Perth, Western Australia 6000, AU
4114030485;***** For 'STATE' test data! *****;34 Hay Street, Perth, WA 6000, AU
3746708620;***** For 'STATE' test data! *****;56 Davey Street, Hobart, Tasmania 7000, AU
3746708620;***** For 'STATE' test data! *****;56 Davey Street, Hobart, TAS 7000, AU
109702772;***** For 'STATE' test data! *****;78 Smith Street, Darwin, Northern Territory 0800, AU
109702772;***** For 'STATE' test data! *****;78 Smith Street, Darwin, NT 0800, AU
5124845014;***** For 'STATE' test data! *****;90 Constitution Avenue, Canberra, Australian Capital Territory 2601, AU
5124845014;***** For 'STATE' test data! *****;90 Constitution Avenue, Canberra, ACT 2601, AU
2858876485;***** For 'STATE' test data! *****;1 Marine Drive, New Delhi, Delhi 110001, IN
2858876485;***** For 'STATE' test data! *****;1 Marine Drive, New Delhi, DL 110001, IN
8779025400;***** For 'STATE' test data! *****;23 Beach Road, Puducherry, Puducherry 605001, IN
8779025400;***** For 'STATE' test data! *****;23 Beach Road, Puducherry, PY 605001, IN
6337970788;***** For 'STATE' test data! *****;45 River Street, Chandigarh, Chandigarh 160001, IN
6337970788;***** For 'STATE' test data! *****;45 River Street, Chandigarh, CH 160001, IN
7053173206;***** For 'STATE' test data! *****;67 Palace Avenue, Lakshadweep, Lakshadweep 682555, IN
7053173206;***** For 'STATE' test data! *****;67 Palace Avenue, Lakshadweep, LD 682555, IN
4894950860;***** For 'STATE' test data! *****;89 Hilltop Lane, Dadra and Nagar Haveli and Daman and Diu 396230, IN
4894950860;***** For 'STATE' test data! *****;89 Hilltop Lane, DNHDD 396230, IN
7338046995;***** For 'STATE' test data! *****;12 Island Road, Andaman and Nicobar Islands 744101, IN
7338046995;***** For 'STATE' test data! *****;12 Island Road, AN 744101, IN
8607782341;***** For 'STATE' test data! *****;34 Desert Street, Ladakh, Ladakh 194101, IN
8607782341;***** For 'STATE' test data! *****;34 Desert Street, Ladakh, LA 194101, IN
5495661039;***** For 'STATE' test data! *****;56 Ghat Road, Jammu, Jammu and Kashmir 180001, IN
5495661039;***** For 'STATE' test data! *****;56 Ghat Road, Jammu, J&K 180001, IN
8013883702;***** For 'STATE' test data! *****;78 Fort Street, Kargil, Jammu and Kashmir 194103, IN
8013883702;***** For 'STATE' test data! *****;78 Fort Street, Kargil, J&K 194103, IN
2157969015;***** CBPRPLUS測試資料 *****;Finance Dept., Payroll Section, 221B Sherlock House, 2F, Marylebone, London NW1 6XE, England, GB
3921841333;***** CBPRPLUS測試資料 *****;Admissions Office, Int’l Students, Oxford Main Hall, 12 University Ave, P.O. Box 87, Oxford OX1 2JD, England, UK
7585467623;***** CBPRPLUS測試資料 *****;Sales Division, East Asia Team, 10F, No.88 Taipei Trade Tower, Zhongxiao East Rd., Xinyi Dist., Taipei 110, TW
735244907;***** CBPRPLUS測試資料 *****;HR Department, Recruitment Unit, 7F Emerald Building, 15 Orchard Rd, P.O. Box 402, SG 238888
8726288661;***** CBPRPLUS測試資料 *****;Engineering, Software Group, 18F Midtown Plaza, 350 5th Avenue, New York, NY 10018, US
6276798469;***** CBPRPLUS測試資料 *****;Research Dept., Biotech Lab, 3F BioInnovation Centre, 42 Science Park Rd, Cambridge CB4 0GA, England, UK
875388202;***** CBPRPLUS測試資料 *****;Logistics, Warehouse A, 5F Al Noor Tower, 789 Sheikh Zayed Rd, P.O. Box 2784, Bur Dubai, Dubai, AE
4174074646;***** CBPRPLUS測試資料 *****;Customer Service, Claims Unit, 9F Melbourne Centre, 120 Collins St, Melbourne VIC 3000, AU
2141430407;***** CBPRPLUS測試資料 *****;Accounting, Tax Division, 11F Sea View Complex, 56 Marine Drive, Churchgate, Mumbai 400002, Maharashtra, IN
9178807247;***** CBPRPLUS測試資料 *****;Legal Affairs, Corporate Compliance, 14F Edif?cio Central, 1320 Avenida Paulista, P.O. Box 912, S?o Paulo SP 01310-100, BR
;;
// 2-30列: 第二批測試資料;;
// 31-46列: 第一批測試資料;;
// 47-58列: 樓層測試資料;;
// 59-71列: 第三批測試資料;;
// 72-105列: STATE測試資料;;
// 106-115列: CBPRPLUS測試資料;;
